";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-06 08:00:00;;;;;;;";0.0;0;34.0;0.0;34.0;-2.9;84.8;7.1
"2022-01-06 09:00:00;;;;;;;";0.0;0;44.0;0.0;44.0;-2.95;84.8;6.97
"2022-01-06 10:00:00;;;;;;;";0.0;0;154.0;2.32;153.0;-2.49;84.85;6.21
"2022-01-06 11:00:00;;;;;;;";0.0;0;41.0;0.0;41.0;-2.66;81.5;6.83
"2022-01-06 12:00:00;;;;;;;";0.0;0;111.0;0.0;111.0;-2.66;84.85;6.48
"2022-01-06 13:00:00;;;;;;;";0.0;0;48.0;0.0;48.0;-2.84;78.3;6.97
"2022-01-06 14:00:00;;;;;;;";0.0;0;78.0;9.03;76.0;-3.45;84.7;6.97
"2022-01-06 15:00:00;;;;;;;";0.0;0;14.0;0.0;14.0;-3.89;88.15;7.17
"2022-01-06 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.31;84.65;6.9
"2022-01-06 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.36;84.65;6.48
"2022-01-06 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.27;84.65;6.28
"2022-01-06 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.62;81.25;6.34
"2022-01-06 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.72;81.25;6.34
"2022-01-06 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.88;84.55;5.93
"2022-01-06 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.29;81.2;5.66
"2022-01-06 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.38;81.2;5.31
"2022-01-07 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.94;84.45;5.03
"2022-01-07 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.13;84.45;5.03
"2022-01-07 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.37;84.45;5.38
"2022-01-07 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.46;88.0;5.93
"2022-01-07 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.61;88.0;5.93
"2022-01-07 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.48;88.0;6.14
"2022-01-07 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.43;88.0;6.41
"2022-01-07 07:00:00;;;;;;;";0.0;0;23.0;0.0;23.0;-6.38;88.0;6.07
"2022-01-07 08:00:00;;;;;;;";0.0;0;53.0;0.0;53.0;-5.85;84.5;6.34
"2022-01-07 09:00:00;;;;;;;";0.0;0;33.0;0.0;33.0;-5.42;81.1;7.45
"2022-01-07 10:00:00;;;;;;;";0.0;0;46.0;0.0;46.0;-5.21;81.2;6.83
"2022-01-07 11:00:00;;;;;;;";0.0;0;49.0;0.0;49.0;-5.22;81.2;6.9
